cleaned_comment
great
দোষীদের উপযুক্ত আইনানুগ ব্যাবস্থা নেওয়া হোক।
wah diner modhe egulo k dhore fellen great jobbut asol gulo k kobe dhorben
আপনারা সত্যিই স্কটল্যান্ড ইয়ার্ড কত্তো ভালো কাজ আপনাদের প্রনাম নেবেন আর ঠিক করেছেন ডার্বি বাতিল করে যে রাজ্যে প্রতি দিন খেলা হয় সেখানে নতুন করে ডার্বির কি দরকার
please sir want justice please apnader kche binito anurodh ay case ta k chapa doar chesta korben na
apnara ebar thamun dada onek hoyeche ebar bondho korun
bah be valo kaj cholche thik eivabe sediner oi sob rapist gulok torighori khuje dekhan dekhi cbi todonto korche tate ki amader police tader naam er morjada rakhuk seperately kotha dilam noto mostoke pronam korbo justiceformoumita
এরা কোনো এক নেতা দাদার গুণধর ভাই । খবরটা দিলাম এবার সঠিক পদক্ষেপ নিয়ে মাইনেটা পাঠান ।
eder noy tader dhorun jara main
ঘটি বাঙাল এক হল হওয়াই চটি পালিয়ে গেল
কঠোর তম শাস্তি চাই
কলকাতায় ডার্বি ম্যাচের নিরাপত্তাটুকু আপনারা দিতে পারেন না রাতদিন ফেসবুক করছেন। চমৎকার
bah
anar কি খবর
দুর্ভাগ্যজনক। intelligence এর এতটাই অভাব যে কলকাতা পুলিশকে social medium র সাহায্যে দুস্কৃতী সনাক্ত করতে হচ্ছে। তাও ধরা পড়ুক।
biswas karun amar family te jon airforce police e chilen kaka sashur ar baro vashur amar airforce ei biye family te airforce army officer vorti really uniform er taka e eto high profile life maintain kori proud feel kori onek ip friend aache e vabe kaaj hoea jantam na sotti ki police erom khub kharap lagche dekhe
কতজন তৃণমূলের সেটাও জানিয়ে দিন প্লিজ
hatts kolkata police
কতো কিছু বাতিল করবেন আপনারা যারা টেবিলের তলায় লুকোয় এতো ভয়
ঋতুপর্ণা মিথ্যে শাঁখ বাজিয়ে কি ছিঁড়তে পারলেন। খুঁজে বের করুন
একি একজন বলছে সবই নাকি fake তাহলে এগুলো কে
রচনা ব্যানার্জী মেকআপ করে কাঁদলেন কেনো এর জন্যে যারা দোষী খুঁজে বের করুন মার্ক করে। kolkata police
toder lojja kore na naki toder baba ki toder kono sikkha dei ni fajlami hocche egulo hate sob kota churi pore r oi sommaniyo posak er jaigai saya blouse pore thak januyar er dol
বড় মাথা টা কবে ধরা পড়বে
apnara egului parbenr ki
ওমাগো আপনারা তো বিরাট তৎপর বলছি ওখানে যে একটা অ্যাটাক হতে পারে সেটা আপনারা আন্দাজ করতেই পারলেন না মানুষ আপনাদের বিশ্বাস করে না।
already sent gift wear …
আজকে সাধারণ মানুষের ওপর লাঠি চার্জ করছেন আর ওইদিন rgkar এ লুকিয়ে পরলেন বাথরুমে সত্যি সেলুকাসকি বিচিত্র এই দেশ
কিভাবে শাক দিয়ে মাছ ঢাকতে হয় আপনারা তো বেশ ভালোই জানেন
বিশাল মহান কাজ করেছেন তো আপনারা দারুন next আপনাদের বেতন তা বাড়ানোর জন্য আন্দোলন করবো এবার কেমন কুকুর ধরা স্বভাব টা আর গেলো না kolkatapolice kolkata police
যাকে ধরার তাকেই তো ধরতে পারেননি এখন তাহলে এগুলো কি লোক দেখানো ।
এই নাটক বন্ধ করুন। আবারও বলছি এদের সামাজিক পরিচয় ও রাজনৈতিক পরিচয় সামনে আনুন। মানুষের ধৈর্য্যের বাঁধ এবার ভেঙে পড়ছে।
fb tei besi active dakacche ajkal
khub valo kotha dhora poreche kintu erpor ki apnader mone hochche manus biswas korche apnara ai mormantic khuner kaj korchen amader biswas apnara proman lopat korchen eker por ek kichchu korben na apnara dhikkar apnader
kolkata police hizra tora amara onk bodro moto protibad korchi amader ovdhoro hote badho korben na tahole apnader barir bou e der kache sadha jabe bole rakhlam sudhure janamara onk valo vabe bhodro vabe protibad korchi amon vabe protibad korle hobe na amader ke da boti ostro hate namte hobe protibad korte valo vabe justice paba jabe na amader nije der ke nije der hate law tule nite hobe
chakri chere dinkhomotar dalali korar theke pathar ba chagoler dalali korunote poisa besi
arrest mastermind gut
parar koyekta chengra mostan ke dhorle parlen na sedin abar nijeder police bolen sediner natok amra sobai bujhte perei ia kore tader paliye jete sahajjo kora hoyee
নাগরিক সমাজের মিছিলে বাধা দিচ্ছেন কেন
দাদা আপনারা এত কিছু পারছেন আর ওই কটা ধর্ষক যারা হাতের মুঠোয় আছে হাসপাতালে আসাযাওয়া করতো তাদেরকে ধরতে পারছেন না আমরা কি বোকা নাকি কি মনে করেন আমাদের
j kota k dhorechen sob kota k pitiye tader babar naam jene ninr koto sekhabo ebar salary tao public k die dinfree te onek gayan dilam
amio cp er greftar dabi korchi amakeo ki deke pathaben kaka ar mukh lokabar jayga nei ki ba korben putuler moot nacha chara opodartho
akta katha boli manchi gaye desh sebar dress diyechen desh seba korchen ki naki kichu particular lok er seba korchen
party r neta der ask korunonader kache sob criminal der babar naam r thikana achesudhu apnarai janen na
chete chete jiv ache na geche
oder chokh dgeke diyeen keno keno ei criminal gulor mukh aral koren chhii chhiii lojjaaa
jake dhorar dhorte pache na eder dhore post korche
আচ্ছা এদের গ্ৰেপ্তার করার পর কি হচ্ছে কি করে জানবো
good job
চেটে চটি ব্যানার্জির বারোটা বাজিয়েছে এনার্জির kolkata police mamata banerjee
সঞ্জয় কে ভালো করে প্রটেকশন দিন। তবেই তো দিদির অনুগামী হিসেবে দিদি আপনাদের মাইনে পত্র বাড়াবে।
eder k cbi er hate tule din k pathiyechilo jana jbeapnara choti chete chetei s kichu hobena apnader dara
kindly nab main think tank behind attack hospital
release detail political affiliation
great ei sokoler chorom sasti chai
